A	Letter	# {{context|sometimes with ''littera''}} {{Latn-def|la|letter|1}}
A	{{abbreviation-old|la}}	# ''a'' (“to”)
A	{{abbreviation-old|la}}	# ''auro'', ''argento'', or ''aeri'' (the three directors of the mint)
A	{{abbreviation-old|la}}	# Aulus (a Roman given name)
A	{{abbreviation-old|la}}	# aediliciae
A	{{abbreviation-old|la}}	# aerario
A	{{abbreviation-old|la}}	# agris (“fields”)
A	{{abbreviation-old|la}}	# amicus|amicō (“friend”)
A	{{abbreviation-old|la}}	# aquae (“waters”)
A	{{abbreviation-old|la}}	# {{context|in Cicero's ''Tusculanae Disputationes'', “Tusculan Disputations”}} ''adulescens'' or ''auditor'', one of the disputants, as opposed to ''M.'' for ''magister'' or ''Marcus''
A	{{abbreviation-old|la}}	# {{context|in dates}} ''anno'', ''annus'' (“year”)
A	{{abbreviation-old|la}}	# {{context|in dates}} ''ante'' (“before”)
A	{{abbreviation-old|la}}	# {{context|in the Roman Comitia}} antiquo — “I leave in its former state”, “I reject” e.g. the point in question
A	{{abbreviation-old|la}}	# {{context|upon the voting tablets in judicial trials}} absolvo (“I free”, “I acquit”)
Abas	Proper noun	# The twelfth king of Argos.
Achillem	Noun	# {{inflection of|Achilles||acc|s}}
Achilles	Proper noun	# #English|Achilles
Achilli	Noun	# {{inflection of|Achilles||dat|s}}
Aenea	Proper noun	# {{inflection of|Aenēās||abl|s}}
Aenea	Proper noun	# {{inflection of|Aenēās||voc|s}}
Aeneae	Proper noun	# {{inflection of|Aenēās||dat|s}}
Aeneae	Proper noun	# {{inflection of|Aenēās||gen|s}}
Aenean	Proper noun	# {{inflection of|Aenēās||acc|s}}
Aeneas	Proper noun	# #English|Aeneas
Albani	Noun	# {{inflection of|Albānus||gen|s}}
Albani	Noun	# {{inflection of|Albānus||nom|p}}
Albani	Noun	# {{inflection of|Albānus||voc|p}}
Albanus	Proper noun	# {{given name|male}}, equivalent to Alban.
Anchisae	Proper noun	# {{inflection of|Anchīsēs||gen|s}}
Anchises	Proper noun	# #English|Anchises
Arcturum	Noun	# {{inflection of|Arctūrus||acc|s}}
Arcturus	Proper noun	# A personification of the star in the comedic play ''Rudens'' by Plautus.
Arcturus	Proper noun	# The constellation Boötes
Arcturus	Proper noun	# The star #English|Arcturus
Asia	Proper noun	# #English|Asia (Roman province)
Asia	Proper noun	# #English|Asia (continent)
Atlas	Proper noun	# {{context|Greek god}} The Titan #English|Atlas.
Atlas	Proper noun	# {{context|geography}} A mountain in the Atlas Mountain Range in the former Kingdom of Mauretania, said to support the heavens.
Aurora	Proper noun	# The East.
Aurora	Proper noun	# {{context|Roman god}} {{l/en|Aurora}}, the goddess of the dawn/morning.
Aurorae	Noun	# {{inflection of|Aurōra||dat|s}}
